HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174360,5,"Bristol, City of",0,51,UU,1,4,4/21/2008,4,326,12,1,N,0,265,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,174360,3,"Bristol, City of",0,54,UU,0,3,4/21/2008,3,333,12,0,S,1,273,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,1,UU,2,0,4/21/2008,0,11,12,0,E,1,8,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,0,UU,0,0,4/21/2008,0,4,12,0,W,0,4,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000024,174099,0,North Somerset,0,0,CR,0,0,4/21/2008,0,0,12,0,N,0,0,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,174099,0,North Somerset,0,0,CR,0,0,4/21/2008,0,1,12,0,S,0,1,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,163592,0,North Somerset,0,4,UU,0,0,4/21/2008,0,14,12,0,N,0,10,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000024,163592,0,North Somerset,0,1,UU,0,0,4/21/2008,0,14,12,0,S,0,13,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,1,UU,0,0,4/21/2008,0,12,12,0,E,0,11,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,0,UU,0,0,4/21/2008,0,7,12,0,W,0,7,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
